level,algorithm,heuristic,success,cost,nodes_expanded,max_frontier,time,solution_length,solution
level_1,A*,manhattan,Éxito,8,45,20,0.0030355453491210938,8,"[('Up', 1), ('Left', 2), ('Up', 2), ('Right', 2), ('Down', 1), ('Left', 2), ('Up', 2), ('Up', 2)]"
level_1,GGS,manhattan,Éxito,8,33,16,0.0019505023956298828,8,"[('Up', 1), ('Left', 2), ('Up', 2), ('Right', 2), ('Down', 1), ('Left', 2), ('Up', 2), ('Up', 2)]"
level_1,A*,boxes_out,Éxito,8,48,19,0.0026273727416992188,8,"[('Up', 1), ('Left', 2), ('Up', 2), ('Right', 2), ('Down', 1), ('Left', 2), ('Up', 2), ('Up', 2)]"
level_1,GGS,boxes_out,Éxito,8,28,16,0.001247406005859375,8,"[('Up', 1), ('Left', 2), ('Up', 2), ('Right', 2), ('Down', 1), ('Left', 2), ('Up', 2), ('Up', 2)]"
level_1,A*,player_boxes,Éxito,8,40,17,0.0027692317962646484,8,"[('Up', 1), ('Left', 2), ('Up', 2), ('Right', 2), ('Down', 1), ('Left', 2), ('Up', 2), ('Up', 2)]"
level_1,GGS,player_boxes,Éxito,8,32,13,0.0014824867248535156,8,"[('Up', 1), ('Left', 2), ('Up', 2), ('Right', 2), ('Down', 1), ('Left', 2), ('Up', 2), ('Up', 2)]"
level_1,A*,hungarian,Éxito,8,45,19,0.0037887096405029297,8,"[('Up', 1), ('Left', 2), ('Up', 2), ('Right', 2), ('Down', 1), ('Left', 2), ('Up', 2), ('Up', 2)]"
level_1,GGS,hungarian,Éxito,8,38,16,0.0029222965240478516,8,"[('Up', 1), ('Left', 2), ('Up', 2), ('Right', 2), ('Down', 1), ('Left', 2), ('Up', 2), ('Up', 2)]"
