level,algorithm,heuristic,success,cost,nodes_expanded,max_frontier,time,solution_length,solution
level_6,BFS,N/A,Éxito,107,22181,598,4.219562292098999,107,Up Left Left Down Left Left Left Left Up Left Down Up Left Left Down Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Left Left Up Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Left Up Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left
level_6,DFS,N/A,Éxito,177,4440,269,0.2691652774810791,177,Down Left Left Left Left Left Up Left Up Left Left Left Down Down Right Left Up Up Right Down Right Right Right Right Right Left Left Left Left Left Left Down Down Right Right Up Down Left Left Up Right Left Up Up Right Right Right Down Right Right Right Down Right Right Right Up Up Left Left Down Left Left Left Left Left Right Right Right Right Right Up Right Right Down Down Left Left Left Left Up Left Left Left Up Left Left Down Right Right Right Right Right Right Left Left Left Left Left Left Down Down Right Right Up Left Left Up Up Right Right Right Down Right Right Right Down Right Right Right Up Up Left Left Down Left Left Left Left Left Right Right Right Right Right Up Right Right Down Down Left Left Left Up Left Left Left Left Down Left Left Up Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Left Down Right Up Up Right Right Down Down Left Left
level_6,IDDFS,N/A,Éxito,199,9068,144,61.70691227912903,199,Down Left Left Left Left Left Up Left Up Left Left Left Down Down Right Left Up Up Right Down Right Right Right Right Right Left Left Left Left Left Left Down Down Right Right Up Down Left Left Up Right Left Up Right Right Right Right Right Left Left Left Left Left Down Right Down Right Up Left Left Up Right Up Right Right Down Right Right Down Right Right Right Right Up Up Left Left Down Left Down Right Left Left Left Up Right Left Left Left Right Right Right Down Right Right Up Up Right Right Down Down Left Left Left Left Up Right Left Left Left Left Down Left Left Up Right Right Right Right Right Down Right Right Right Right Up Up Left Left Down Left Right Up Right Right Down Down Left Left Right Right Up Up Left Left Down Left Left Right Right Down Left Right Right Right Up Up Left Left Down Left Left Left Left Left Right Up Left Left Left Down Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Left Down Right Left Up Right Up Right Right Down Down Left Left
level_6,A*,manhattan,Éxito,107,22180,982,0.6345429420471191,107,Up Left Left Down Left Left Left Left Up Left Down Up Left Left Down Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Left Left Up Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Left Up Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left
level_6,GGS,manhattan,Éxito,137,2695,315,0.07673001289367676,137,Up Left Left Down Left Left Left Left Up Left Down Up Left Left Down Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Up Left Left Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Down Right Right Up Right Up Right Right Down Down Left Left Left Up Left Left Left Up Left Left Down Right Right Right Right Right Down Right Right Right Up Up Left Left Down Left Down Left Up Right Right Up Right Right Down Down Left Left Left Up Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left
level_6,A*,boxes_out,Éxito,107,22182,769,0.4813838005065918,107,Up Left Left Down Left Left Left Left Up Left Down Up Left Left Down Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Left Left Up Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Left Up Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left
level_6,GGS,boxes_out,Éxito,107,9717,995,0.20611143112182617,107,Up Left Left Down Left Left Left Left Up Left Down Up Left Left Down Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Left Left Up Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Left Up Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left
level_6,A*,player_boxes,Éxito,107,22140,1607,0.9996852874755859,107,Down Left Left Left Left Left Up Left Up Left Down Up Left Left Down Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Left Left Up Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Left Up Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left
level_6,GGS,player_boxes,Éxito,139,9333,3214,0.2791173458099365,139,Down Left Left Left Left Left Up Left Up Left Down Up Left Left Down Right Right Right Left Left Left Down Down Right Up Left Up Right Up Right Right Down Right Right Right Left Left Left Up Left Left Down Right Right Right Right Down Right Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Left Left Up Right Left Left Left Left Left Down Down Right Up Left Up Right Right Right Right Down Right Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left Up Left Right Down Left Up Left Left Left Up Left Down Left Down Down Right Up Left Up Right Right Right Right Right Down Right Right Right Up Up Left Left Down Up Right Right Down Down Left Left
